memodo_id;usable_capacity_kwh;max_power_kw;round_trip_efficiency;inverter_included;extra_inverter_cost_net;requires_foundation;datasheet_url;rechenweg
15821;89;30;;true;0;false;https://manuals.sma.de/SMAStorageXLPackage/en-US/15963340683.html;Datenblatt nennt "Energy (at 100% DoD) 89 kWh" und keine davon abweichende nutzbare Kapazitaet. Wirkungsgrad offen: SMA nennt nur "Maximum battery efficiency 98 %" (ein Maximum, kein Round-Trip) und Wechselrichter-Spitzenwirkungsgrade.
15822;89;50;;true;0;false;https://manuals.sma.de/SMAStorageXLPackage/en-US/15963340683.html;Datenblatt nennt "Energy (at 100% DoD) 89 kWh" und keine davon abweichende nutzbare Kapazitaet. Wirkungsgrad offen: SMA nennt nur "Maximum battery efficiency 98 %" (ein Maximum, kein Round-Trip) und Wechselrichter-Spitzenwirkungsgrade.
15823;107;30;;true;0;true;https://manuals.sma.de/SMAStorageXLPackage/en-US/15963340683.html;Datenblatt nennt "Energy (at 100% DoD) 107 kWh". Fundament: das Handbuch fuehrt "Requirements on the Foundation" ausschliesslich fuer die Outdoor-Ausfuehrung. Wirkungsgrad offen (nur Maximalwerte angegeben).
15824;107;50;;true;0;true;https://manuals.sma.de/SMAStorageXLPackage/en-US/15963340683.html;Datenblatt nennt "Energy (at 100% DoD) 107 kWh". Fundament: das Handbuch fuehrt "Requirements on the Foundation" ausschliesslich fuer die Outdoor-Ausfuehrung. Wirkungsgrad offen (nur Maximalwerte angegeben).
15825;197;50;;true;0;false;https://manuals.sma.de/SMAStorageXLPackage/en-US/15963340683.html;Datenblatt nennt "Energy (at 100% DoD) 197 kWh". Indoor-Ausfuehrung, daher kein Fundament. Wirkungsgrad offen (nur Maximalwerte angegeben).
15826;197;50;;true;0;true;https://manuals.sma.de/SMAStorageXLPackage/en-US/15963340683.html;Datenblatt nennt "Energy (at 100% DoD) 197 kWh". Fundament: das Handbuch fuehrt "Requirements on the Foundation" ausschliesslich fuer die Outdoor-Ausfuehrung. Wirkungsgrad offen (nur Maximalwerte angegeben).
12650;92.16;50;;true;0;true;https://knowledge-center.solaredge.com/sites/kc/files/se-css-od-battery-cabinet-and-battery-inverter-datasheet-eng.pdf;Nutzbare Kapazitaet direkt angegeben ("Usable Battery Capacity 92.16 kWh" bei 102,4 kWh gesamt). Leistung = "Rated AC Active Power Output 50 kW" (PCS050). Schrank laut Datenblatt fuer den Aussenbereich (IP54). Wirkungsgrad offen: nur "Maximum Inverter Efficiency 97.5 %", kein Round-Trip.
15687;102.14;49.9;;true;0;true;https://knowledge-center.solaredge.com/sites/kc/files/se-css-od-107kwh-battery-cabinet-and-battery-inverter-datasheet-eng.pdf;Nutzbare Kapazitaet direkt angegeben ("Usable Battery Capacity 102.14 kWh" bei 107,52 kWh gesamt). Leistung = "Rated AC Active Power Output 49.9 kW" (die 50-kW-Variante des Datenblatts, nicht 29,9 kW). Aussenschrank IP54. Wirkungsgrad offen (nur Wechselrichter-Spitzenwirkungsgrad).
15920;187.15;50;;true;0;true;https://knowledge-center.solaredge.com/sites/kc/files/se-css-od_197kwh-battery-cabinet-and-battery-inverter-datasheet-eng.pdf;Nutzbare Kapazitaet direkt angegeben ("Usable Battery Capacity 187.15 kWh" bei 197,12 kWh gesamt). Leistung = ein PCS050 mit 50 kW. Aussenschrank IP54. Wirkungsgrad offen (nur Wechselrichter-Spitzenwirkungsgrad).
15921;187.15;100;;true;0;true;https://knowledge-center.solaredge.com/sites/kc/files/se-css-od_197kwh-battery-cabinet-and-battery-inverter-datasheet-eng.pdf;Gleicher Schrank wie die 50-kW-Variante (187,15 kWh nutzbar). Leistung 100 kW = zwei PCS050 — das Datenblatt erlaubt ausdruecklich "1 or 2" Wechselrichter je 197-kWh-Schrank. Wirkungsgrad offen (nur Wechselrichter-Spitzenwirkungsgrad).
16259;184.32;100;;true;0;true;https://knowledge-center.solaredge.com/sites/kc/files/se-css-od-battery-cabinet-and-battery-inverter-datasheet-eng.pdf;Buendel aus zwei kompletten CSS-OD 102,4/50: 2 x 92,16 = 184,32 kWh nutzbar, 2 x 50 = 100 kW. Die Verdopplung stuetzt sich auf den Artikelnamen ("2x") und den Hinweis "Bundle 2 Einheiten", nicht auf ein eigenes Datenblatt. Wirkungsgrad offen (nur Wechselrichter-Spitzenwirkungsgrad).
12956;215;100;0.89;true;0;true;https://www.fox-ess.com/Public/Uploads/uploadfile/files/20260612/ENGMAXDatasheetV1.620260529.pdf;Nutzbar = 215 kWh Systemkapazitaet x DoD 0-100 % = 215 kWh. Leistung = "Rated Output Power 100 kW" (nicht die 110 kW Spitzenleistung). Round-Trip ">89 %" steht als Systemwert unter GENERAL DATA, konservativ als 0,89 uebernommen. Container fuer den Aussenbereich.
14238;254.8;125;0.931;true;0;;https://pylonwebs3.s3.amazonaws.com/upload/2024/09/26/OPTIM%20US%20L260-OMNI_20240926105739A032.pdf;Nutzbar = 260 kWh Nennkapazitaet x 98 % DoD = 254,8 kWh. Leistung = "Rated AC Power 125 kW". Wirkungsgrad = Batterie-Round-Trip >95 % x CEC-Wirkungsgrad des PCS 98 % = 0,931 — beide Faktoren sind Grenzwerte, der Wert ist damit eine Obergrenze und enthaelt nur EINEN Umrichterdurchgang. Aufstellungsart im Datenblatt nicht benannt, daher kein Fundament-Urteil.
12957;;110;;true;0;;https://ger.sungrowpower.com/upload/file/20241108/EN_DS_ST225kWh-110kW-2h_PowerStack_Datasheet.pdf;Leistung = "Nominal power 110 kW". Kapazitaet offen: das Datenblatt nennt 229 kWh Nennkapazitaet, aber keine Entladetiefe. Wirkungsgrad offen: nur PCS-Spitzenwirkungsgrad. Aufstellungsart nicht benannt.
15106;257;125;;true;0;;https://www.sungrowpower.com/en/products/c-i-energy-storage-system/st255cs-2h;Nutzbar = 257 kWh Nennkapazitaet x "Depth of charge and discharge 0 % - 100 %" = 257 kWh. Leistung = "Nominal power 125 kW". Wirkungsgrad offen: nur PCS-Spitzenwirkungsgrad. Aufstellungsart nicht benannt.
